trip_id,service_id,route_id,trip_headsign,direction_id,block_id
"1","8","0006","6 | Saint-Jacques Morinais","0","1049116"
"18078","28","0030","30 | Cesson-Sévigné Rigourdière","1","1049244"
"18079","8","0030","30 | Cesson-Sévigné Rigourdière","1","1048981"
"1808","17","0031","31 | Beaulieu Chimie","1","1047630"
"18080","13","0030","30 | Cesson-Sévigné Rigourdière","1","1048451"
"18081","17","0030","30 | Cesson-Sévigné Rigourdière","1","1047497"
"18082","21","0030","30 | Cesson-Sévigné Rigourdière","1","1049788"
"18083","28","0030","30 | Cesson-Sévigné Rigourdière","1","1049245"
"18084","8","0030","30 | Cesson-Sévigné Rigourdière","1","1048975"
"18085","13","0030","30 | Cesson-Sévigné Rigourdière","1","1048445"
"18086","17","0030","30 | Cesson-Sévigné Rigourdière","1","1047491"
"18087","21","0030","30 | Cesson-Sévigné Rigourdière","1","1049782"
"18088","28","0030","30 | Cesson-Sévigné Rigourdière","1","1049239"
"18089","8","0030","30 | Cesson-Sévigné Rigourdière","1","1048999"
"1809","21","0031","31 | Beaulieu Chimie","1","1049900"
"18090","13","0030","30 | Cesson-Sévigné Rigourdière","1","1048469"
"18091","17","0030","30 | Cesson-Sévigné Rigourdière","1","1047515"
"18092","21","0030","30 | Cesson-Sévigné Rigourdière","1","1049806"
"18093","28","0030","30 | Cesson-Sévigné Rigourdière","1","1049263"
"18094","8","0030","30 | Cesson-Sévigné Rigourdière","1","1048973"
"18095","13","0030","30 | Cesson-Sévigné Rigourdière","1","1048443"
"18096","17","0030","30 | Cesson-Sévigné Rigourdière","1","1047489"
"18097","21","0030","30 | Cesson-Sévigné Rigourdière","1","1049780"
"18098","28","0030","30 | Cesson-Sévigné Rigourdière","1","1049237"
"18099","8","0030","30 | Cesson-Sévigné Rigourdière","1","1048976"
"181","8","0006","6 | Cesson-Sévigné Base de Loisirs","1","1048915"
"1810","28","0031","31 | Beaulieu Chimie","1","1049357"
"18100","13","0030","30 | Cesson-Sévigné Rigourdière","1","1048446"
"18101","17","0030","30 | Cesson-Sévigné Rigourdière","1","1047492"
"18102","21","0030","30 | Cesson-Sévigné Rigourdière","1","1049783"
"18103","28","0030","30 | Cesson-Sévigné Rigourdière","1","1049240"
"18104","8","0030","30 | Cesson-Sévigné Rigourdière","1","1048978"
"18105","13","0030","30 | Cesson-Sévigné Rigourdière","1","1048448"
"18106","17","0030","30 | Cesson-Sévigné Rigourdière","1","1047494"
"18107","21","0030","30 | Cesson-Sévigné Rigourdière","1","1049785"
"18108","28","0030","30 | Cesson-Sévigné Rigourdière","1","1049242"
"18109","8","0030","30 | Cesson-Sévigné Rigourdière","1","1048981"
"1811","8","0031","31 | Villejean Churchill","0","1049093"
"18110","13","0030","30 | Cesson-Sévigné Rigourdière","1","1048451"
"18111","17","0030","30 | Cesson-Sévigné Rigourdière","1","1047497"
"18112","21","0030","30 | Cesson-Sévigné Rigourdière","1","1049788"
"18113","28","0030","30 | Cesson-Sévigné Rigourdière","1","1049245"
"18114","8","0030","30 | Cesson-Sévigné Rigourdière","1","1048975"
"18115","13","0030","30 | Cesson-Sévigné Rigourdière","1","1048445"
"18116","17","0030","30 | Cesson-Sévigné Rigourdière","1","1047491"
"18117","21","0030","30 | Cesson-Sévigné Rigourdière","1","1049782"
"18118","28","0030","30 | Cesson-Sévigné Rigourdière","1","1049239"
"18119","8","0030","30 | Cesson-Sévigné Rigourdière","1","1048999"
"1812","13","0031","31 | Villejean Churchill","0","1048563"
"18120","13","0030","30 | Cesson-Sévigné Rigourdière","1","1048469"
"18121","17","0030","30 | Cesson-Sévigné Rigourdière","1","1047515"
"18122","21","0030","30 | Cesson-Sévigné Rigourdière","1","1049806"
"18123","28","0030","30 | Cesson-Sévigné Rigourdière","1","1049263"
"18124","8","0030","30 | Cesson-Sévigné Rigourdière","1","1048973"
"18125","13","0030","30 | Cesson-Sévigné Rigourdière","1","1048443"
"18126","17","0030","30 | Cesson-Sévigné Rigourdière","1","1047489"
"18127","21","0030","30 | Cesson-Sévigné Rigourdière","1","1049780"
"18128","28","0030","30 | Cesson-Sévigné Rigourdière","1","1049237"
"18129","8","0030","30 | Cesson-Sévigné Rigourdière","1","1048976"
"1813","17","0031","31 | Villejean Churchill","0","1047630"
"18130","13","0030","30 | Cesson-Sévigné Rigourdière","1","1048446"
"18131","17","0030","30 | Cesson-Sévigné Rigourdière","1","1047492"
"18132","21","0030","30 | Cesson-Sévigné Rigourdière","1","1049783"
"18133","28","0030","30 | Cesson-Sévigné Rigourdière","1","1049240"
"18134","8","0030","30 | Cesson-Sévigné Rigourdière","1","1048983"
"18135","13","0030","30 | Cesson-Sévigné Rigourdière","1","1048453"
"18136","17","0030","30 | Cesson-Sévigné Rigourdière","1","1047499"
"18137","21","0030","30 | Cesson-Sévigné Rigourdière","1","1049790"
"18138","28","0030","30 | Cesson-Sévigné Rigourdière","1","1049247"
"18139","8","0030","30 | Cesson-Sévigné Rigourdière","1","1048978"
"1814","21","0031","31 | Villejean Churchill","0","1049900"
"18140","13","0030","30 | Cesson-Sévigné Rigourdière","1","1048448"
"18141","17","0030","30 | Cesson-Sévigné Rigourdière","1","1047494"
"18142","21","0030","30 | Cesson-Sévigné Rigourdière","1","1049785"
"18143","28","0030","30 | Cesson-Sévigné Rigourdière","1","1049242"
"18144","8","0030","30 | Cesson-Sévigné Rigourdière","1","1048981"
"18145","13","0030","30 | Cesson-Sévigné Rigourdière","1","1048451"
"18146","17","0030","30 | Cesson-Sévigné Rigourdière","1","1047497"
"18147","21","0030","30 | Cesson-Sévigné Rigourdière","1","1049788"
"18148","28","0030","30 | Cesson-Sévigné Rigourdière","1","1049245"
"18149","8","0030","30 | Cesson-Sévigné Rigourdière","1","1048975"
"1815","28","0031","31 | Villejean Churchill","0","1049357"
"18150","13","0030","30 | Cesson-Sévigné Rigourdière","1","1048445"
"18151","17","0030","30 | Cesson-Sévigné Rigourdière","1","1047491"
"18152","21","0030","30 | Cesson-Sévigné Rigourdière","1","1049782"
"18153","28","0030","30 | Cesson-Sévigné Rigourdière","1","1049239"
"18154","8","0030","30 | Cesson-Sévigné Rigourdière","1","1048999"
"18155","13","0030","30 | Cesson-Sévigné Rigourdière","1","1048469"
"18156","17","0030","30 | Cesson-Sévigné Rigourdière","1","1047515"
"18157","21","0030","30 | Cesson-Sévigné Rigourdière","1","1049806"
"18158","28","0030","30 | Cesson-Sévigné Rigourdière","1","1049263"
"18159","8","0030","30 | Cesson-Sévigné Rigourdière","1","1048973"
"1816","8","0031","31 | Villejean Churchill","0","1049042"
"18160","13","0030","30 | Cesson-Sévigné Rigourdière","1","1048443"
"18161","17","0030","30 | Cesson-Sévigné Rigourdière","1","1047489"
"18162","21","0030","30 | Cesson-Sévigné Rigourdière","1","1049780"
"18163","28","0030","30 | Cesson-Sévigné Rigourdière","1","1049237"
"18164","8","0030","30 | Cesson-Sévigné Rigourdière","1","1048976"
"18165","13","0030","30 | Cesson-Sévigné Rigourdière","1","1048446"
"18166","17","0030","30 | Cesson-Sévigné Rigourdière","1","1047492"
"18167","21","0030","30 | Cesson-Sévigné Rigourdière","1","1049783"
"18168","28","0030","30 | Cesson-Sévigné Rigourdière","1","1049240"
"18169","8","0030","30 | Cesson-Sévigné Rigourdière","1","1048983"
"1817","13","0031","31 | Villejean Churchill","0","1048512"
"18170","13","0030","30 | Cesson-Sévigné Rigourdière","1","1048453"
"18171","17","0030","30 | Cesson-Sévigné Rigourdière","1","1047499"
"18172","21","0030","30 | Cesson-Sévigné Rigourdière","1","1049790"
"18173","28","0030","30 | Cesson-Sévigné Rigourdière","1","1049247"
"18174","8","0030","30 | Cesson-Sévigné Rigourdière","1","1048978"
"18175","13","0030","30 | Cesson-Sévigné Rigourdière","1","1048448"
"18176","17","0030","30 | Cesson-Sévigné Rigourdière","1","1047494"
"18177","21","0030","30 | Cesson-Sévigné Rigourdière","1","1049785"
"18178","28","0030","30 | Cesson-Sévigné Rigourdière","1","1049242"
"18179","8","0030","30 | Cesson-Sévigné Rigourdière","1","1048981"
"1818","17","0031","31 | Villejean Churchill","0","1047562"
"18180","13","0030","30 | Cesson-Sévigné Rigourdière","1","1048451"
"18181","17","0030","30 | Cesson-Sévigné Rigourdière","1","1047497"
"18182","21","0030","30 | Cesson-Sévigné Rigourdière","1","1049788"
"18183","28","0030","30 | Cesson-Sévigné Rigourdière","1","1049245"
"18184","8","0030","30 | Cesson-Sévigné Rigourdière","1","1048975"
"18185","13","0030","30 | Cesson-Sévigné Rigourdière","1","1048445"
"18186","17","0030","30 | Cesson-Sévigné Rigourdière","1","1047491"
"18187","21","0030","30 | Cesson-Sévigné Rigourdière","1","1049782"
"18188","28","0030","30 | Cesson-Sévigné Rigourdière","1","1049239"
"18189","8","0030","30 | Cesson-Sévigné Rigourdière","1","1048999"
"1819","21","0031","31 | Villejean Churchill","0","1049849"
"18190","13","0030","30 | Cesson-Sévigné Rigourdière","1","1048469"
"18191","17","0030","30 | Cesson-Sévigné Rigourdière","1","1047515"
"18192","21","0030","30 | Cesson-Sévigné Rigourdière","1","1049806"
"18193","28","0030","30 | Cesson-Sévigné Rigourdière","1","1049263"
"18194","8","0030","30 | Cesson-Sévigné Rigourdière","1","1048973"
"18195","13","0030","30 | Cesson-Sévigné Rigourdière","1","1048443"
"18196","17","0030","30 | Cesson-Sévigné Rigourdière","1","1047489"
"18197","21","0030","30 | Cesson-Sévigné Rigourdière","1","1049780"
"18198","28","0030","30 | Cesson-Sévigné Rigourdière","1","1049237"
"18199","8","0030","30 | Cesson-Sévigné Rigourdière","1","1048976"
"182","13","0006","6 | Cesson-Sévigné Base de Loisirs","1","1048385"
"1820","28","0031","31 | Villejean Churchill","0","1049306"
"18200","13","0030","30 | Cesson-Sévigné Rigourdière","1","1048446"
"18201","17","0030","30 | Cesson-Sévigné Rigourdière","1","1047492"
"18202","21","0030","30 | Cesson-Sévigné Rigourdière","1","1049783"
"18203","28","0030","30 | Cesson-Sévigné Rigourdière","1","1049240"
"18204","8","0030","30 | Cesson-Sévigné Rigourdière","1","1048982"
"18205","13","0030","30 | Cesson-Sévigné Rigourdière","1","1048452"
"18206","17","0030","30 | Cesson-Sévigné Rigourdière","1","1047498"
"18207","21","0030","30 | Cesson-Sévigné Rigourdière","1","1049789"
"18208","28","0030","30 | Cesson-Sévigné Rigourdière","1","1049246"
"18209","8","0030","30 | Cesson-Sévigné Rigourdière","1","1048983"
"1821","8","0031","31 | Beaulieu Chimie","1","1049092"
"18210","13","0030","30 | Cesson-Sévigné Rigourdière","1","1048453"
"18211","17","0030","30 | Cesson-Sévigné Rigourdière","1","1047499"
"18212","21","0030","30 | Cesson-Sévigné Rigourdière","1","1049790"
"18213","28","0030","30 | Cesson-Sévigné Rigourdière","1","1049247"
"18214","8","0030","30 | Cesson-Sévigné Rigourdière","1","1048978"
"18215","13","0030","30 | Cesson-Sévigné Rigourdière","1","1048448"
"18216","17","0030","30 | Cesson-Sévigné Rigourdière","1","1047494"
"18217","21","0030","30 | Cesson-Sévigné Rigourdière","1","1049785"
"18218","28","0030","30 | Cesson-Sévigné Rigourdière","1","1049242"
"18219","8","0030","30 | Cesson-Sévigné Rigourdière","1","1048981"
"1822","13","0031","31 | Beaulieu Chimie","1","1048562"
"18220","13","0030","30 | Cesson-Sévigné Rigourdière","1","1048451"
"18221","17","0030","30 | Cesson-Sévigné Rigourdière","1","1047497"
"18222","21","0030","30 | Cesson-Sévigné Rigourdière","1","1049788"
"18223","28","0030","30 | Cesson-Sévigné Rigourdière","1","1049245"
"18224","8","0030","30 | Cesson-Sévigné Rigourdière","1","1048999"
